ActionID,Action,Key[0],Key[1],Key[2],Key[3],Key[4],Key[5],KeyID[0],KeyID[1],KeyID[2],KeyID[3],KeyID[4],KeyID[5]
0,Up,GpUp,GpLeftThumbUp,Invalid,Invalid,Invalid,Invalid,1,17,0,0,0,0
1,Right,GpRight,GpLeftThumbRight,Invalid,Invalid,Invalid,Invalid,2,18,0,0,0,0
2,Down,GpDown,GpLeftThumbDown,Invalid,Invalid,Invalid,Invalid,3,19,0,0,0,0
3,Left,GpLeft,GpLeftThumbLeft,Invalid,Invalid,Invalid,Invalid,4,20,0,0,0,0
4,Decide,GpEast,Invalid,Invalid,Invalid,Invalid,Invalid,6,0,0,0,0,0
5,Cancel,GpStart,Invalid,Invalid,Invalid,Invalid,Invalid,9,0,0,0,0,0
6,Menu,GpNorth,Invalid,Invalid,Invalid,Invalid,Invalid,5,0,0,0,0,0
7,Start,GpStart,Invalid,Invalid,Invalid,Invalid,Invalid,9,0,0,0,0,0
8,Move,GpLeftVector,Invalid,Invalid,Invalid,Invalid,Invalid,26,0,0,0,0,0
9,SelectMove,GpLeftVector,GpCross,Invalid,Invalid,Invalid,Invalid,26,25,0,0,0,0
10,Camera,GpRightVector,Invalid,Invalid,Invalid,Invalid,Invalid,27,0,0,0,0,0
11,DragonCall,GpRightTrigger,Invalid,Invalid,Invalid,Invalid,Invalid,14,0,0,0,0,0
12,Dash,GpLeftThumb,Invalid,Invalid,Invalid,Invalid,Invalid,15,0,0,0,0,0
13,Parry,GpSouth,Invalid,Invalid,Invalid,Invalid,Invalid,7,0,0,0,0,0
14,CursorMove,GpCross,Invalid,Invalid,Invalid,Invalid,Invalid,25,0,0,0,0,0
15,ItemCursorMove,GpRight,GpLeft,Invalid,Invalid,Invalid,Invalid,2,4,0,0,0,0
16,UseItem,GpWest,Invalid,Invalid,Invalid,Invalid,Invalid,8,0,0,0,0,0
